RC-COMBINED GENDER BY RACE INDICATOR,ILLICIT DRUG OTHER THAN MARIJUANA - EVER USED,RECODED # R's CHILDREN < 18 IN HOUSEHOLD,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,33201757.480124574,234573,161192.51549588834
Overall,Overall,0,0.8283603788940181,0.0012191543585057813,0.8258977693286452,0.8307952920848857,1.0,0.0,N/A,N/A,0.8283603788940181,0.0012191543585057813,0.8258977693286452,0.8307952920848857,27503020.406183295,188032,148753.06878291632
Overall,Overall,1,0.10537537512273801,0.0008901962552716922,0.10360069944593028,0.10717681616928004,1.0,0.0,N/A,N/A,0.10537537512273801,0.0008901962552716922,0.10360069944593028,0.10717681616928004,3498647.6492023,28206,32446.102554669764
Overall,Overall,2,0.048492715234232195,0.0006477343522862309,0.04720814133432363,0.04981041613150303,1.0,0.0,N/A,N/A,0.048492715234232195,0.0006477343522862309,0.04720814133432363,0.04981041613150303,1610043.3707597197,13404,20353.098460206907
Overall,Overall,3 - 3 or more,0.01777153074901614,0.0003538929832665056,0.017074499593109624,0.018496481303837506,1.0,0.0,N/A,N/A,0.01777153074901614,0.0003538929832665056,0.017074499593109624,0.018496481303837506,590046.0539794106,4931,12153.770246351667
Overall,0 - Never used drug/used only marijuana,Overall,0.6251720034552216,0.0015358524903106793,0.622082105973412,0.6282517346459976,0.6251720034552216,0.0015358524903106793,0.622082105973412,0.6282517346459976,1.0,0.0,N/A,N/A,20756809.24208387,146688,110411.02102996758
Overall,0 - Never used drug/used only marijuana,0,0.5180805150849872,0.0015844943246927814,0.5148972740350239,0.5212622892099107,0.6254288933721096,0.0016409454727567604,0.622127185422135,0.6287189691737726,0.8287007611051718,0.0015360723347821157,0.8255933921779629,0.8317640483585628,17201183.617029767,117888,102476.65008844095
Overall,0 - Never used drug/used only marijuana,1,0.06474173637363388,0.0007565687416908313,0.06323862159103814,0.06627805079644994,0.6143915150785911,0.0040863012631036045,0.6061521092642643,0.6225658806779178,0.1035582783870952,0.0012002163635649518,0.10117227035820604,0.10599392141349255,2149539.429919552,17175,25900.112077282018
Overall,0 - Never used drug/used only marijuana,2,0.03105678116769972,0.0004831004869961744,0.03010098098915677,0.032041928346194105,0.6404421987444411,0.0054736823903254765,0.6293758840341898,0.6513611255210121,0.049677178434181415,0.0007588821008955901,0.04817489214149278,0.05122379088375807,1031139.7164432663,8522,15488.845702173574
Overall,0 - Never used drug/used only marijuana,3 - 3 or more,0.011292970828902186,0.0003226115703490664,0.010663029627462307,0.01195967727154083,0.6354529043328122,0.010733483976833267,0.6136347736518121,0.6567281919607479,0.01806378207355386,0.0005077128750234836,0.017071770344598527,0.019112317080243826,374946.47869133175,3103,10897.547582130208
