RC-COMBINED GENDER BY RACE INDICATOR,RC-ILLICIT DRUG OTHER THAN MARIJUANA - EVER USED,RECODED # R's CHILDREN < 18 IN HOUSEHOLD,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,152353083.35766762,25557,2312975.5473596673
Overall,Overall,0,0.6492499927893222,0.005841582458513718,0.6374285385705365,0.6608910628147271,1.0,0.0,N/A,N/A,0.6492499927893222,0.005841582458513718,0.6374285385705365,0.6608910628147271,98915238.2713967,18194,1675694.3097280012
Overall,Overall,1,0.13541573056907794,0.0040553575622167305,0.12747492661251913,0.14376968479570118,1.0,0.0,N/A,N/A,0.13541573056907794,0.0040553575622167305,0.12747492661251913,0.14376968479570118,20631004.08733019,2819,668907.7475177214
Overall,Overall,2,0.1341016942596309,0.004031003571296961,0.1262097281111836,0.14240672272682653,1.0,0.0,N/A,N/A,0.1341016942596309,0.004031003571296961,0.1262097281111836,0.14240672272682653,20430806.603942003,2878,692733.232080305
Overall,Overall,3 - 3 or more,0.0812325823819657,0.003287858506324828,0.07486868350115483,0.08808591283077966,1.0,0.0,N/A,N/A,0.0812325823819657,0.003287858506324828,0.07486868350115483,0.08808591283077966,12376034.394998224,1666,575883.4425093922
Overall,0 - Never used drug/used only marijuana,Overall,0.7109990985528364,0.0054893566560570185,0.6998498457424562,0.7218987759744123,0.7109990985528364,0.0054893566560570185,0.6998498457424562,0.7218987759744123,1.0,0.0,N/A,N/A,108322904.92904682,18478,1818641.3135109409
Overall,0 - Never used drug/used only marijuana,0,0.46088423087227026,0.006519910936316166,0.44781856490565447,0.4740038679498826,0.7098717535478272,0.006514390147571591,0.6966149151921313,0.7227798405334325,0.6482205558492992,0.0072236163319099,0.6335783453742769,0.66258925873237,70217133.64431752,13270,1454296.8611904485
Overall,0 - Never used drug/used only marijuana,1,0.09353298707792343,0.0038139596663302184,0.08614864132580852,0.1014800039867481,0.6907099100293272,0.015894564761368597,0.657910986194965,0.7216943827597906,0.13155148476038853,0.005374913951867141,0.12112638120752563,0.14272814065612174,14250038.976974517,1949,601873.9408593335
Overall,0 - Never used drug/used only marijuana,2,0.09497857269299716,0.0034611359638729664,0.08825072372739863,0.10216185258348652,0.7082578129781981,0.014797275203982841,0.6776731448086528,0.7370663860666686,0.13358465979255954,0.004831917492884169,0.12417412223690014,0.14359144974428123,14470278.40268849,2004,572615.1247377136
Overall,0 - Never used drug/used only marijuana,3 - 3 or more,0.06160330790965074,0.002919212579386293,0.05599412237663297,0.06773407389594327,0.7583571284239656,0.020794797763621697,0.7141791723897918,0.7976414897427316,0.08664329959776007,0.004013645043304874,0.0789138189478067,0.09505174222670236,9385453.905067084,1255,473744.7215223652
Overall,1 - Illicit drug except for marijuana are ever used,Overall,0.28900090144715496,0.005489356656057023,0.2781012240255791,0.3001501542575351,0.28900090144715496,0.005489356656057023,0.2781012240255791,0.3001501542575351,1.0,0.0,N/A,N/A,44030178.42861948,7079,1088787.0781409922
Overall,1 - Illicit drug except for marijuana are ever used,0,0.18836576191705387,0.0042102367976127745,0.1800546343245102,0.1969683654371434,0.2901282464521759,0.006514390147571602,0.2772201594665705,0.3033850848078719,0.6517826102749973,0.010396716137790658,0.6306195712584874,0.6723631001993758,28698104.627079483,4924,731559.8211124472
Overall,1 - Illicit drug except for marijuana are ever used,1,0.041882743491154235,0.002297850772056396,0.03750297215722643,0.04674916143734524,0.30929008997067087,0.015894564761368586,0.2783056172402075,0.34208901380503304,0.1449225358171164,0.007884739779753932,0.12979273051522275,0.16148871469065135,6380965.110355632,870,363125.32796898717
Overall,1 - Illicit drug except for marijuana are ever used,2,0.0391231215666336,0.0023163669418938652,0.034726928318933266,0.044050445733825154,0.2917421870218009,0.014797275203982841,0.26293361393333037,0.3223268551913462,0.13537370081105934,0.006823911676008972,0.12224311584237428,0.14967418971542065,5960528.201253492,874,366038.97843274235
