cause_cat,race_cat,metric_cat,year,median,lower95,upper95
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",1999,2.1044923716689867e-4,1.8317660929042522e-4,2.3940086232095148e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2000,2.020839397754992e-4,1.77965997263968e-4,2.2702983943172217e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2001,2.144150365510633e-4,1.8902732550804546e-4,2.4059276475428548e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2002,2.0388493569034605e-4,1.835642021503797e-4,2.277047385801645e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2003,2.1022873291492994e-4,1.8828654303827685e-4,2.3309009293138173e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2004,1.9683488502453272e-4,1.7585989712284587e-4,2.1911821327019463e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2005,2.120463132550543e-4,1.914761157996492e-4,2.3295876938123904e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2006,1.962807960623758e-4,1.7719683138846533e-4,2.179368021779704e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2007,1.926940435281188e-4,1.7398475689030802e-4,2.1293704106855327e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2008,1.741093400507432e-4,1.5706645190161073e-4,1.9125947691180924e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2009,1.7175254772050508e-4,1.5537050879060044e-4,1.9053927758558019e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2010,1.5469802013562406e-4,1.3817910845460022e-4,1.7307680569071115e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2011,1.4968802228604305e-4,1.3540295820806957e-4,1.6437880245571965e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2012,1.5284172124152562e-4,1.381010084063494e-4,1.6792647395537095e-4
Firearms,Hispanic,"Youth impacted by parental
death per 1,000 population",2013,1.4911129484707075e-4,1.3527189746693756e-4,1.650124653410384e-4
