cause_cat,race_cat,metric_cat,year,median,lower95,upper95
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",1999,1.6892815529873846e-4,1.379636244632268e-4,2.0630194314782814e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",1999,1.8167330012245063e-4,1.5438097378619442e-4,2.092868310026394e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2000,1.3690736261601748e-4,1.1249527440474941e-4,1.650568369059425e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2000,1.753569113896765e-4,1.5224614652379275e-4,1.9849870396128547e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2001,1.2658908106535663e-4,1.0491774155932602e-4,1.4865227084363995e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2001,1.8771101239817338e-4,1.6480464391969822e-4,2.133815568085347e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2002,1.419300977769594e-4,1.2058473546075004e-4,1.6502408051483622e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2002,1.789151775949174e-4,1.602075164509984e-4,2.0188887468035725e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2003,0.00014639248325693871,1.2585953083695396e-4,1.7015673817693158e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2003,1.8577015467964526e-4,1.648581288417534e-4,2.0713878393562344e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2004,1.2580949420536148e-4,1.0825603062831874e-4,1.4315165902729733e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2004,1.7544857383280298e-4,1.558320940721193e-4,1.96473521628082e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2005,1.41980063933535e-4,1.2343527586581102e-4,1.6143513784921954e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2005,1.854062060117138e-4,1.656783350694219e-4,2.0658567846285237e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2006,1.5462030251927271e-4,1.3654379372853094e-4,1.7558095072124728e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2006,1.7314823286584225e-4,1.5476524573102747e-4,1.939379696363587e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2007,1.409374167812889e-4,1.2446685425768577e-4,1.5795333029853417e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2007,1.7035586718937922e-4,1.5166516976934866e-4,1.9011393795215486e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2008,1.3942737647248735e-4,1.2368922016288934e-4,1.568169284018741e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2008,1.5435700084561594e-4,1.3858219553041453e-4,1.7224312513141476e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2009,1.316982641517347e-4,1.1665382863780988e-4,1.4802105793897534e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2009,1.514215606156392e-4,1.3584302926787758e-4,1.6964575821480144e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2010,1.2419145977454784e-4,1.0989083480695485e-4,1.4013273011408947e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2010,1.361881275497211e-4,1.2077143780535417e-4,1.5379308796003698e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2011,1.3587153895786708e-4,1.2002124152992424e-4,1.5293954351022385e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2011,1.28674383001823e-4,1.1567711767382214e-4,1.4322475389298144e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2012,1.4245153571281589e-4,1.2608606761931135e-4,1.6020463613844652e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2012,1.3294283363513622e-4,1.1898165070441338e-4,1.477188830420448e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2013,1.4743657641583458e-4,1.319865680754925e-4,1.6581112530947477e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2013,1.2881911777962743e-4,1.1613389811477184e-4,1.4324141408679193e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2014,1.5989928150801923e-4,1.4437757273607293e-4,1.8026527408451467e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2014,1.3119882789670948e-4,1.1623981927358075e-4,1.474528501733921e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2015,1.890794318036498e-4,1.6909417890222212e-4,2.1136701944407042e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2015,1.3670674074322924e-4,1.2190317061926923e-4,1.5180238373742233e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2016,2.479993859914372e-4,2.2052544967391934e-4,2.7566733054866e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2016,1.556855226168686e-4,1.3781735834552048e-4,1.7368552636925632e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2017,2.855203950112762e-4,2.564957879755424e-4,3.1809302275044105e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2017,1.4757825970060693e-4,1.3197425328976707e-4,1.6503142297880565e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2018,2.8801976676490226e-4,2.580507102150552e-4,3.2201068626729594e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2018,1.5236828370023548e-4,1.3724121614284507e-4,1.696443773654685e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2019,3.344387574026992e-4,3.004106710334931e-4,3.726417809647925e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2019,1.526436451561441e-4,1.3697405273804862e-4,1.7029668032145654e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2020,4.570045333713716e-4,4.106168687211656e-4,5.124885538638634e-4
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2020,1.8440739753534377e-4,1.6475857787098943e-4,2.057336821814944e-4
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",1999,3.7751925133331695e-5,2.6201729504984966e-5,5.3594000206849114e-5
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",1999,2.8713490386092113e-5,2.051608445746741e-5,3.8301473821218675e-5
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2000,3.381790757125233e-5,2.3855978765838795e-5,4.704621679183563e-5
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2000,2.6980795069594352e-5,1.9109339934223236e-5,3.649086117006536e-5
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2001,3.560297775006823e-5,2.62205856742004e-5,4.874201642512557e-5
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2001,2.589844401748801e-5,1.9932685180231463e-5,3.426998682354422e-5
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2002,4.168292141442273e-5,3.132599200286028e-5,5.465109654150165e-5
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2002,2.490325475169213e-5,1.8971797830990535e-5,3.2172387981564326e-5
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2003,4.3850647072074025e-5,3.438573304189602e-5,5.690259468062674e-5
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2003,2.4729878694537867e-5,1.874965308402064e-5,3.1433098876705945e-5
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2004,4.197553798386728e-5,3.34501445220499e-5,5.245714782336732e-5
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2004,2.1364999828958213e-5,1.6832005745266717e-5,2.714282437568727e-5
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2005,4.528076090989968e-5,3.663072214895914e-5,5.6427309786377235e-5
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2005,2.6208581753801694e-5,2.078914179700088e-5,3.225277439452924e-5
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2006,5.137216934536677e-5,4.246018551734019e-5,6.067354524340149e-5
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2006,2.3184066287079863e-5,1.8194135079574512e-5,2.861380031753466e-5
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2007,4.511212351987714e-5,3.784500762970048e-5,5.3916096811487195e-5
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2007,2.211623045665375e-5,1.7585279648641444e-5,2.739218784791427e-5
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2008,4.591566483780617e-5,3.8207548539358225e-5,5.421387905883233e-5
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2008,1.9564159969822014e-5,1.555724692345579e-5,2.397776969326715e-5
Drug Poisonings,Hispanic,"Youth impacted per
1,000 population (95% CI)",2009,5.1829120905483895e-5,4.338967093806033e-5,6.104188592545904e-5
Firearms,Hispanic,"Youth impacted per
1,000 population (95% CI)",2009,2.0289716617091095e-5,1.6023239895513894e-5,2.4657564374245818e-5
