cause_cat,race_cat,metric_cat,year,median,lower95,upper95
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",1999,4970.091639316299,4227.275476390888,5776.515537016785
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",1999,4.175985768062884e-4,3.5518544743609604e-4,4.853561749395552e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2000,4641.361509297834,4029.7177477662067,5337.345010454479
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2000,3.728565438575471e-4,3.237210954465886e-4,4.287672938181553e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2001,4872.978157391501,4217.340201755393,5540.0568160419225
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2001,3.775541507427538e-4,3.2675588661357224e-4,4.292388306880862e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2002,5186.913423574801,4584.683305295699,5835.165126616494
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2002,3.877013012895114e-4,3.426869774584368e-4,4.361555568955733e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2003,5552.588072672383,4914.584359255507,6226.614934047261
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2003,4.0120012554040185e-4,3.5510141146905536e-4,4.499016783770154e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2004,5220.29176049084,4647.125945380154,5843.606445840616
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2004,3.6478048153998355e-4,3.2472913735636375e-4,4.08336099023604e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2005,5918.523972423602,5306.7438477491305,6570.692236958681
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2005,3.995392792690011e-4,3.582400987262813e-4,4.4356492478273555e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2006,6165.275899635244,5564.394385437541,6844.916456315139
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2006,4.0189028603498933e-4,3.627211640775535e-4,4.4619340274404395e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2007,6024.930862950573,5442.463155545229,6647.681077192494
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2007,3.7924350739942936e-4,3.425796682072352e-4,4.1844295729439316e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2008,5883.485134333366,5318.9879145315945,6480.372174467875
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2008,3.5922221549927746e-4,3.247562591298048e-4,3.956657655490081e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2009,5974.460196072509,5401.664550929989,6606.715807024488
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2009,3.552475273919109e-4,3.211885111863127e-4,3.9284209411410693e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2010,5679.880113906109,5099.349317735479,6291.008245720506
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2010,3.3064564254892126e-4,2.9685091902133807e-4,3.662215437600702e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2011,6015.759591318771,5451.51571143729,6590.119163750758
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2011,3.4637641539048136e-4,3.1388828657605836e-4,3.794469872483219e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2012,6259.456755599266,5677.437036891952,6895.462065143174
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2012,3.572365953652956e-4,3.2401985613940697e-4,3.935343733174279e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2013,6340.490790937902,5769.307266656588,6974.358343621372
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2013,3.586928474227369e-4,3.263799789901794e-4,3.94551862892939e-4
