cause_cat,race_cat,metric_cat,year,median,lower95,upper95
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",1999,2114.4169240257115,1746.7117555202165,2572.027286618439
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",1999,2274.6407200815984,1952.1106439220582,2610.3170459444277
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2000,1789.04302667481,1478.7312914291808,2149.4469295002486
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2000,2294.119005713578,1997.377011009943,2587.5376706973434
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2001,1718.5529918532452,1430.157876208114,2016.789043263799
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2001,2549.473644045961,2245.854398006663,2892.1268739298052
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2002,1991.7319055561943,1697.6497952018315,2310.0976992145565
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2002,2510.4258365623086,2251.3212186296482,2828.3893917992546
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2003,2113.2326062722195,1825.6687264484508,2444.636926619065
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2003,2684.252542185607,2385.6304347236223,2986.671699996318
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2004,1873.7080926942058,1620.2257374090757,2137.559340811386
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2004,2616.53907066128,2315.8355000073952,2941.031807443563
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2005,2180.8009054694567,1906.102386503664,2490.931613167425
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2005,2853.3652363795027,2553.6141918301823,3162.193622467798
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2006,2458.4980338916353,2169.742291687953,2778.0848097768367
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2006,2749.2133257849136,2444.0188443921174,3074.949626228644
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2007,2302.489272773866,2041.2179356498089,2587.9954047839537
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2007,2779.56772004713,2493.7162902613895,3108.9627593757673
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2008,2327.899937616856,2072.5215122168047,2618.0445766368593
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2008,2579.2546516486127,2318.762830282979,2868.8674270904494
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2009,2241.7697541407742,1992.79666695944,2511.066423190742
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2009,2577.3846530130804,2320.337764621801,2892.801991567504
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2010,2136.893345375901,1886.7471561882608,2399.3451174221855
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2010,2342.6997310145953,2081.9299839536234,2642.7359585462564
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2011,2348.4814219740456,2085.882320169456,2630.160677436514
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2011,2226.662845336861,1994.8489118630025,2476.1438860628773
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2012,2474.0488878925435,2199.5877082856578,2783.1312552957183
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2012,2308.814330621354,2077.745541770845,2563.2504437177
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2013,2573.1722198060356,2310.2102872827254,2877.4923028790695
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2013,2247.220468593976,2022.1309508423724,2506.650294880259
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2014,2794.763390105061,2524.0004007605703,3142.8815319065657
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2014,2291.0061855829103,2034.4903372725175,2579.433786202381
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2015,3322.707993493538,2963.7136594518947,3742.654107527637
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2015,2401.1399240989995,2145.1615274369424,2675.2512721651983
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2016,4389.289687987351,3917.598272750342,4878.479332346848
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2016,2749.151881907842,2429.3942944694422,3077.2392680365606
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2017,5068.159321681284,4545.746400805636,5651.557159710581
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2017,2615.4185442485486,2341.3158091823557,2922.6833256947666
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2018,5108.0941416206415,4577.898312155773,5694.251654586608
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2018,2696.384684808001,2427.277099382415,3009.6820210336314
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2019,5891.410254974426,5305.628753201731,6553.727676050845
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2019,2689.603635942244,2410.853844709808,2994.9254448641423
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2020,7988.555887260554,7222.026229990803,8918.5939403296
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2020,3226.170178478316,2885.8206739401535,3595.5207695063914
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",1999,487.77661530566917,337.32648465340475,689.5905503567542
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",1999,369.70797814728803,261.70791120076524,491.7659321648227
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2000,455.6575156961071,321.14799635466665,629.8184881646334
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2000,361.81714173425723,258.66905276896364,487.17896527211667
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2001,497.1817586985979,367.3457313123073,672.4208937834849
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2001,363.0154953429908,279.5701501469425,478.58751589889744
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2002,602.2611705324385,452.9135335535228,789.707252953584
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2002,360.6887021107391,275.21682937737177,465.5726749810161
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2003,657.085460240437,513.2361228508926,849.1575590877617
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2003,369.76791350530124,278.88632915712526,465.7172056602125
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2004,647.4893284221098,518.8875549311537,807.1465461574328
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2004,330.3582147047332,259.6639876189464,417.4587703277308
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2005,718.8761625038833,584.2502741651997,894.2891374400112
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2005,416.5669036794481,329.49915685603133,511.8661166525932
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2006,843.9250102643455,696.324567105766,996.5543736890367
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2006,380.4054859459106,300.6724139368548,468.7187316577563
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2007,763.9967229479182,641.8576011668569,912.9846370538722
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2007,374.6198379054173,299.07337601034766,462.9730615572885
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2008,797.1897694828041,663.5857975403703,943.9657040620529
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2008,340.1907068876375,271.25759561452685,417.34337495540257
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2009,915.98288802043,772.1251259567739,1079.027339715388
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2009,357.64610801412584,284.81412465637925,432.5222163441769
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2010,921.1812044618141,785.4709317241851,1062.6228971630412
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2010,328.7623235732535,262.55365502860496,401.46272572875
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2011,1088.3742302118653,943.9541610502599,1276.7179040006786
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2011,369.22223714534107,300.4890029808459,447.6858052515623
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2012,1122.4957624272279,958.3915158210845,1314.2940232451087
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2012,355.7008201785495,280.10845569404944,431.9915685908313
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2013,1115.3799682690392,950.1251146081097,1297.5929990402888
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2013,359.7595450497462,277.773503048401,439.46335401936295
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2014,1173.465032030505,1008.3064768418495,1362.3530095680524
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2014,355.44378314003313,288.5243092896155,444.99010168780393
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2015,1263.3027835238508,1080.3740430019534,1469.2865662415245
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2015,413.77907851527834,331.9318606144782,512.7474125286606
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2016,1497.983540352241,1279.7014197479211,1724.1052688342254
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2016,436.6692220193077,354.1208613487259,533.0883844155582
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2017,1602.506294289229,1388.260619161057,1854.3301058425166
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2017,498.29123080229436,404.68243280968846,606.0433164273329
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2018,1600.8219925737485,1403.964731930683,1822.7471929405483
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2018,458.83068769721507,365.49014228544974,557.6576239111037
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2019,1693.632092783101,1491.4808374015208,1918.7366040370948
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2019,514.629314241974,417.8584454436925,626.0252632064057
Drug Poisonings,Hispanic,"Number on youth impacted
by parental death, thousands",2020,2281.614639790807,2010.4115287416184,2593.8600803898435
Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2020,520.1147002460857,424.4598265297225,638.0893504429268
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",1999,1782.376323398601,1456.602485477998,2135.103638566848
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",1999,4465.882311700155,4014.117029682919,4999.502361761688
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2000,1698.2432289409285,1399.9225916199898,2027.0960895826834
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2000,4621.646499039043,4173.033998402281,5144.851337811595
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2001,1681.6532331155706,1431.1179033857616,2003.968954712442
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2001,4619.613683630607,4183.2981862158695,5119.746941119282
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2002,1745.8093592900293,1493.1572168100367,2042.5491892385025
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2002,5036.257797726028,4530.823220889688,5565.797713598557
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2003,1708.9839359283183,1453.9514504506465,1966.3727694066627
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2003,4918.195141211749,4457.1507701001565,5419.655016887196
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2004,1584.490009013064,1387.473611344957,1801.638793927217
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2004,4712.176134064952,4293.743572970976,5188.637801793499
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2005,1774.4928401634725,1561.7410067754354,1990.7665028707133
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2005,5065.3813136946565,4593.747137818829,5573.710649018782
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2006,2195.651598854656,1971.5291947296014,2465.1378730042316
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2006,5096.7151898039965,4659.534516757374,5595.986846336831
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2007,1737.2736188377648,1548.8101701103546,1941.7086287906475
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2007,4957.973297047418,4521.777981900295,5460.319284945891
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2008,1465.654468517755,1309.2114379492941,1629.9756927534697
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2008,4720.388056274159,4326.836639786882,5174.530478807088
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2009,1414.1679332366707,1262.4316521114813,1579.742153062231
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2009,4500.98899461846,4100.463161001831,4926.8337987733585
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2010,1249.4819956576919,1112.8418210283658,1394.9378878158936
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2010,4418.63118245471,4045.8875746433255,4865.0464530355475
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2011,1412.77655938431,1266.9778179290574,1575.8762142068886
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2011,4443.954701494191,4030.035722629922,4843.938868888622
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2012,1412.0148212426955,1258.3577517905921,1568.9349580620637
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2012,4758.8187061060835,4347.822981813021,5215.754726114108
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2013,1604.064213663343,1443.4949824467808,1775.3418948781496
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2013,4684.3798721038065,4302.092077352753,5149.096626033935
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2014,1773.6163305452815,1581.674356874918,1960.460004009257
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2014,4478.362141037911,4046.257840248945,4888.666491205368
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2015,2232.071639288913,2021.4434210908705,2463.0226832193375
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2015,5281.227697646668,4830.801638322891,5749.850429313064
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2016,3195.6795041247606,2883.717956445109,3504.2309582124194
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2016,5748.385382962151,5225.894410435728,6287.340981612018
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2017,4046.6431740231237,3678.6013098354065,4431.626520902574
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2017,5874.818930545746,5368.688702364679,6446.5684870654
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2018,4133.220596431365,3758.2930397666823,4539.351572538142
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2018,5566.270179442332,5126.751893606173,6080.254331928511
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2019,4835.525826471775,4403.554876854492,5304.458533431465
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2019,5820.139731110544,5334.033034966187,6387.243067418964
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2020,7340.288517191957,6663.195684837675,8030.015488442734
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2020,7737.819341726663,7140.897342340902,8532.414764564443
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",1999,817.5541921881496,602.6059950109116,1080.5218033940532
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",1999,810.051803280141,643.1804134516783,996.501334577004
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2000,830.3022736421113,618.121060167641,1096.3082885524518
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2000,782.1500136287403,630.9919401965816,959.2622867233225
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2001,873.2470657717506,667.3455950465183,1134.9001648440926
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2001,793.466190848211,652.4518088768561,968.0569171916179
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2002,953.5388787513004,757.1450385902746,1196.3678140074871
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2002,791.5681524071354,663.3363513257381,938.3528248780165
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2003,985.9177670390354,791.3753140155891,1219.9939078552738
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2003,722.6194318016769,608.6563558300253,843.3531928497789
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2004,1015.1665201191167,823.2989051789473,1220.9018778349841
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2004,660.6723868777077,556.8336966944818,777.2743545359355
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2005,1091.5786156366325,903.6757186894562,1285.9078969131867
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2005,676.01973221709045,573.3264300111614,786.7110599122003
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2006,1082.0162219094914,912.715481901959,1246.7025838149584
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2006,749.7787170878594,645.0688447284668,870.6639907614319
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2007,1014.9267649198353,882.337541711567,1173.785607661055
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2007,704.2569401591641,597.8649149210042,815.2674066250256
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2008,870.0778344710617,739.8672883238121,1003.720978864852
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2008,605.71140193111,527.6745402116268,701.5313080118835
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2009,877.0350220652616,755.7474984716775,1012.4308931579646
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2009,639.1838807361444,550.9062039044012,734.1744444341365
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2010,903.0300391292319,773.219888080162,1039.285538002115
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2010,587.3027821021136,497.38088054679025,677.3646873830016
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2011,935.3696738117453,795.3860560117153,1073.292547742954
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2011,597.7681333326029,506.60559713029414,684.0403052769883
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2012,944.5729870958897,811.794304737131,1082.9024648523402
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2012,633.2366026981274,544.3932376561457,729.0674687714696
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2013,950.9599919493526,830.1360097954946,1083.8567983134585
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2013,641.1439484288678,549.6295124377151,746.3647171981138
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2014,1078.1645238481474,944.9082106128378,1227.7595599969059
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2014,544.8194780687475,465.9846551716464,636.3116213483747
