cause_cat,race_cat,scenario,median,lower95,upper95
Drug Poisonings,Hispanic,0.75,67934.07083374678,64357.58804571938,71479.16556266244
Firearm-related,Hispanic,0.75,48376.64197732102,46225.81670517957,50787.936033438615
Drug Poisonings,Hispanic,0.8,72342.05118139542,68972.35377530019,76250.43435052515
Firearm-related,Hispanic,0.8,51577.34640060886,49158.75007161589,54209.44986631373
Drug Poisonings,Hispanic,0.85,77027.27612182096,73014.21138935322,80918.75436144733
Firearm-related,Hispanic,0.85,54774.75022916238,52386.2000674105,57617.17206176828
Drug Poisonings,Hispanic,0.9,81451.26942881824,77606.50463401113,86010.65482322463
Firearm-related,Hispanic,0.9,57976.629456124516,55462.02668239223,60828.48035455722
Drug Poisonings,Hispanic,0.95,86088.81276291616,82098.07232382866,89922.42169805296
Firearm-related,Hispanic,0.95,61317.411386775,58681.84079516062,64026.802070703954
Drug Poisonings,Hispanic,1,90530.32464967284,85977.05552952258,94873.18414193657
Firearm-related,Hispanic,1,64580.0657307006,61720.50561067877,67497.22414220143
Drug Poisonings,Hispanic,1.05,95221.4168551511,90846.36620422863,99668.44569672165
Firearm-related,Hispanic,1.05,67717.73047657486,64797.26994953279,70738.14030109817
Drug Poisonings,Hispanic,1.1,99844.99308333732,95159.68768231424,104421.1040559705
Firearm-related,Hispanic,1.1,71001.01654509068,68083.21683868926,74017.9959845332
Drug Poisonings,Hispanic,1.15,104311.79299995926,99482.17250700123,108897.39568482563
Firearm-related,Hispanic,1.15,74219.28834613334,71197.70651178769,77600.13853468235
Drug Poisonings,Hispanic,1.2,108650.10913037072,103840.10978444034,113200.69391806917
Firearm-related,Hispanic,1.2,77478.92081836936,74256.13163839931,80664.07784641863
Drug Poisonings,Hispanic,1.25,113377.9244446403,108345.3548136364,118114.23568300549
Firearm-related,Hispanic,1.25,80625.71085066262,77447.14299595908,84255.56794812818
Drug Poisonings,Non-Hispanic Black,0.75,70118.82828022161,66575.28545676463,74010.219846734
Firearm-related,Non-Hispanic Black,0.75,118694.52922154171,113879.59063317759,123473.85262900808
Drug Poisonings,Non-Hispanic Black,0.8,74830.6576212584,70526.59704533157,78542.66568252163
Firearm-related,Non-Hispanic Black,0.8,126528.06628194984,121828.72529125327,131481.48801602065
Drug Poisonings,Non-Hispanic Black,0.85,79323.58915335784,75197.88178151514,83772.85894866202
Firearm-related,Non-Hispanic Black,0.85,134376.02389889967,129357.48199217326,139888.05221749816
Drug Poisonings,Non-Hispanic Black,0.9,84304.27500010497,79664.31680032874,88616.65574982518
Firearm-related,Non-Hispanic Black,0.9,142222.35809851217,137061.2903927987,147990.98891348054
Drug Poisonings,Non-Hispanic Black,0.95,88790.92408678189,84352.25076428293,93415.40419701806
Firearm-related,Non-Hispanic Black,0.95,150156.02160952459,144710.85163260388,155423.29542673126
Drug Poisonings,Non-Hispanic Black,1,93523.53388916657,88909.29023803677,98295.44121818809
Firearm-related,Non-Hispanic Black,1,158177.89787803916,152228.4933479184,164432.3703661981
Drug Poisonings,Non-Hispanic Black,1.05,98277.80442358245,93710.61343504478,102978.1336136701
Firearm-related,Non-Hispanic Black,1.05,165899.0403245383,160050.90964171707,171414.0223911892
Drug Poisonings,Non-Hispanic Black,1.1,102717.74862186077,98246.078073716,107443.32071313089
Firearm-related,Non-Hispanic Black,1.1,173744.9530438409,167463.7527134948,179732.0345083305
Drug Poisonings,Non-Hispanic Black,1.15,107491.06591409535,102444.88277601034,112710.11270960611
Firearm-related,Non-Hispanic Black,1.15,181872.14330879448,175630.49433776998,188403.7550561186
Drug Poisonings,Non-Hispanic Black,1.2,112220.0421953712,107250.03620171461,117432.29282854906
Firearm-related,Non-Hispanic Black,1.2,189777.7695594111,183178.77639047516,196721.6673166972
Drug Poisonings,Non-Hispanic Black,1.25,116738.10705610926,111935.27717884914,122110.32047353931
Firearm-related,Non-Hispanic Black,1.25,197695.39387721353,190999.04803881876,204074.61093023827
Drug Poisonings,Non-Hispanic White,0.75,396405.5463744184,386514.5537079476,406222.9815032252
Firearm-related,Non-Hispanic White,0.75,169757.46488001168,165225.92704779745,174411.4082830413
Drug Poisonings,Non-Hispanic White,0.8,422963.8440105548,412536.0979047282,433832.94238531764
Firearm-related,Non-Hispanic White,0.8,181164.2757773556,176530.54784883445,185555.49359755503
Drug Poisonings,Non-Hispanic White,0.85,449555.952801976,438493.27197126194,460684.40039437835
Firearm-related,Non-Hispanic White,0.85,192388.08869812626,186907.91368057943,197553.93915559247
Drug Poisonings,Non-Hispanic White,0.9,475699.26628410735,464027.64509453316,487272.9628282211
Firearm-related,Non-Hispanic White,0.9,203322.6184695213,198516.43520579,209149.0464420117
Drug Poisonings,Non-Hispanic White,0.95,501652.0398482261,489579.1375558971,514204.8442452538
Firearm-related,Non-Hispanic White,0.95,215088.44697493472,209529.47018367416,220368.1887438781
Drug Poisonings,Non-Hispanic White,1,528528.8743057905,516282.16080504295,541654.4724632927
Firearm-related,Non-Hispanic White,1,226459.74413466788,220378.15358850002,232485.1355529591
Drug Poisonings,Non-Hispanic White,1.05,555365.4436078833,541807.0949254677,568942.2535617491
Firearm-related,Non-Hispanic White,1.05,237676.40311038715,231816.78662341542,244214.4342702376
Drug Poisonings,Non-Hispanic White,1.1,581538.8411183981,567832.6302952677,595281.8405664873
Firearm-related,Non-Hispanic White,1.1,248747.7596542129,242991.9312206007,255735.96206617067
Drug Poisonings,Non-Hispanic White,1.15,607960.3555364774,593681.8409490742,621237.2657146034
Firearm-related,Non-Hispanic White,1.15,260304.90406165147,254264.63545869154,266463.17444142106
Drug Poisonings,Non-Hispanic White,1.2,634331.2926959198,621307.8285079126,648793.175875768
Firearm-related,Non-Hispanic White,1.2,271561.8729880821,265220.7134908404,278463.64706087543
Drug Poisonings,Non-Hispanic White,1.25,660631.0426415128,646368.7285830036,677515.8924943815
Firearm-related,Non-Hispanic White,1.25,282870.46292088495,276117.5846711631,289580.46563445864
Drug Poisonings,Total,0.75,569391.4151439178,556835.3017160859,582561.3569575931
Firearm-related,Total,0.75,325497.8100178769,318101.4371658595,332869.7382650381
Drug Poisonings,Total,0.8,607718.646529133,594462.1061196018,621318.1067520792
Firearm-related,Total,0.8,346988.9369310211,339230.3875608303,354394.10930073087
Drug Poisonings,Total,0.85,646418.1697936202,632695.6260981131,659821.3803218943
Firearm-related,Total,0.85,368939.7132091392,360620.1223575512,376962.26567939005
Drug Poisonings,Total,0.9,684026.5137096449,670065.2901773507,697633.644640397
Firearm-related,Total,0.9,390261.6749713771,382177.72354956844,399520.94442367135
Drug Poisonings,Total,0.95,721849.2195366201,706876.2681881271,736494.9372612339
Firearm-related,Total,0.95,411920.69820992614,403130.7559631974,420544.17370011494
Drug Poisonings,Total,1,759867.756053295,743911.368202697,774436.9356600506
Firearm-related,Total,1,433940.76054443873,424476.48529923975,443075.13584434864
Drug Poisonings,Total,1.05,797635.1402672548,781676.1406342332,813747.4044161752
Firearm-related,Total,1.05,455609.18481993023,445778.00911048544,464443.4722070781
Drug Poisonings,Total,1.1,835396.1947679098,820096.7645608571,853307.7072623105
Firearm-related,Total,1.1,477683.5633748785,467555.4138500636,487143.06800072256
Drug Poisonings,Total,1.15,873469.845002858,857566.8489570955,889625.588076995
Firearm-related,Total,1.15,498917.2669431479,488263.08574089664,509197.326331619
Drug Poisonings,Total,1.2,912229.8319284348,895155.9232660413,930307.0114506868
Firearm-related,Total,1.2,520416.14624183177,510349.6258479036,531004.2207625657
Drug Poisonings,Total,1.25,949926.4694677419,930934.7467023268,968123.7745002528
Firearm-related,Total,1.25,541980.5794534163,531718.4995182161,553074.0233589612
