drug_fertility,firearm_fertility,median,lower95,upper95
0.75,0.75,894836.5727215172,879318.3776395983,911973.7675844906
0.75,0.8,916221.8335921445,901510.1543703236,933692.7918671039
0.75,0.85,938548.0839414932,922354.7991477277,953785.9588884631
0.75,0.9,960108.7970842756,943787.8742492984,976657.3515200241
0.75,0.95,981741.301090051,965362.615633467,997645.4582895987
0.75,1,1003103.6106750696,987280.1789592389,1020474.2983405943
0.75,1.05,1025345.4695832976,1007653.4973964258,1042393.0137913922
0.75,1.1,1047268.2585252817,1029771.363295891,1064214.94249581
0.75,1.15,1068058.8130287584,1050447.2618788038,1087538.8338412377
0.75,1.2,1089815.306326264,1073220.3161714592,1108972.4910469463
0.75,1.25,1111382.3328484674,1094855.5562389747,1131047.3377371905
0.8,0.75,933413.8357876044,917333.7143943952,948958.2245673169
0.8,0.8,954858.8424821023,938851.8556532246,969948.0595174506
0.8,0.85,976601.9461739588,960677.696144975,991554.1686879958
0.8,0.9,998370.691368212,982038.5432028092,1014424.9970550935
0.8,0.95,1019686.503028627,1004094.5916345821,1035785.037915229
0.8,1,1041818.121443558,1025475.6163278947,1058430.5645562876
0.8,1.05,1063045.6333270739,1046310.8590088591,1079789.176327879
0.8,1.1,1085065.4073178652,1068568.345745557,1101326.0316171064
0.8,1.15,1106387.2477146825,1089571.049480703,1123690.3508206944
0.8,1.2,1128283.9718712536,1110044.258658788,1145735.7788187515
0.8,1.25,1150005.0262659125,1133030.6863315408,1168548.0500618157
0.85,0.75,971616.5348037749,955008.4795802315,987568.8853983083
0.85,0.8,993286.0761950235,976915.4432181396,1009371.075507663
0.85,0.85,1015087.7453923782,998264.0883836661,1031093.9676697081
0.85,0.9,1036449.1730841455,1020209.7785470953,1052411.2052855054
0.85,0.95,1058073.2713202538,1040456.2593798757,1076117.2899671544
0.85,1,1079983.9594668825,1064411.7548548798,1096881.2070104454
0.85,1.05,1101702.9910797784,1083546.6376048962,1118631.9715364191
0.85,1.1,1123929.2709701653,1105643.7419734567,1141903.7742734125
0.85,1.15,1145069.9636439998,1127304.4251122086,1162184.46226549
0.85,1.2,1166569.6907530613,1149497.9675035996,1184692.660067068
0.85,1.25,1188021.720966339,1171462.1723263094,1206386.2485220095
0.9,0.75,1009295.8319777348,993891.2266217382,1025427.4088836997
0.9,0.8,1030797.402199904,1015750.913319224,1046846.9934456757
0.9,0.85,1052451.6717149555,1036476.4306559067,1069424.697970374
0.9,0.9,1074433.5420262704,1056911.195032658,1091835.5594019254
0.9,0.95,1095873.4326667087,1080113.7808157043,1113126.661144332
0.9,1,1118139.035110112,1099989.3941770475,1136254.077054396
0.9,1.05,1139441.6225879402,1122434.2253168442,1157566.2992726313
0.9,1.1,1161574.5789682372,1144444.9611090722,1179206.8937152843
0.9,1.15,1182783.2617982854,1163852.6588700744,1200069.090366346
0.9,1.2,1204601.7248398215,1186828.237229191,1223371.611036199
0.9,1.25,1226037.2142368723,1208868.0029771659,1244612.960379843
0.95,0.75,1046912.2068194174,1030053.0161061902,1065097.7891490872
0.95,0.8,1068851.2054251404,1050996.4016689088,1086530.0604659833
0.95,0.85,1090904.7252357814,1073490.367780802,1107972.5996702118
0.95,0.9,1112052.9654995548,1093928.108494432,1130106.4046096052
0.95,0.95,1133596.3868545755,1115741.5851248233,1152270.6287061041
0.95,1,1155482.945679626,1136936.0379318933,1173262.0009692258
0.95,1.05,1177323.480821312,1158392.3273593541,1196192.6512886996
0.95,1.1,1199139.6845698308,1180999.5723527188,1219158.9134142734
0.95,1.15,1220520.2783549766,1201998.4297651027,1239664.4714681762
0.95,1.2,1242187.5596070779,1222980.1865667193,1261211.5163525313
0.95,1.25,1264189.4291254082,1244825.861372503,1283172.4217425496
1,0.75,1085323.9852654203,1067161.2612884017,1102862.5015390273
1,0.8,1107036.0236447998,1088537.8252704903,1124585.9530696215
1,0.85,1128708.1405711742,1110337.6186886278,1146450.017470262
1,0.9,1150390.5381750811,1130385.4026672773,1167575.5267421333
1,0.95,1171751.9128365456,1152137.721234427,1189353.1791484386
1,1,1193720.2433655313,1174463.1311336108,1212867.260013196
1,1.05,1215277.190887906,1195075.9744966857,1234427.8489854333
1,1.1,1237116.4340917373,1217748.0591564605,1256619.942866409
1,1.15,1258327.3456956367,1237705.378129796,1278052.3509883236
1,1.2,1280164.8258380517,1260088.8943936783,1300969.8974719038
1,1.25,1301455.8113846942,1282731.7516281754,1322345.2543527419
1.05,0.75,1123122.7082049982,1105857.536587635,1141275.369486119
1.05,0.8,1144409.025088034,1126214.7168964886,1162872.2142690737
1.05,0.85,1166756.6351478281,1148553.2049941479,1184547.9834893586
1.05,0.9,1188090.0214947076,1169280.9803884586,1206287.3151905506
1.05,0.95,1209607.4781624533,1191288.28722823,1228478.0292207168
1.05,1,1231748.0314894817,1212615.6834883785,1251547.9484538294
1.05,1.05,1252882.72822937,1233040.494029578,1272181.4304518066
1.05,1.1,1275344.5783038624,1255140.277170508,1295516.6495886985
1.05,1.15,1296419.334441781,1278476.7786933098,1315200.6550561746
1.05,1.2,1318392.2312984974,1298218.1503202394,1338640.5287023461
1.05,1.25,1340051.805835351,1320588.8046586805,1359645.8841502068
1.1,0.75,1160777.014520592,1143356.2749189634,1181335.7105907984
1.1,0.8,1182444.1956877878,1164916.7488319231,1201363.0408616113
1.1,0.85,1204109.5931362493,1185649.8398967602,1223937.3996051515
1.1,0.9,1225484.5979590584,1207019.697817415,1246046.5153997552
1.1,0.95,1246911.9285420398,1229581.228673179,1266918.8128462096
1.1,1,1269317.6230354612,1250741.1716771256,1289661.8938028363
1.1,1.05,1290587.573782899,1270851.1049359455,1311612.806203026
1.1,1.1,1312583.4577646535,1293716.9579766502,1334773.407597141
1.1,1.15,1334111.011175626,1314646.2590219877,1355276.2449987
1.1,1.2,1355957.1836831032,1335765.242649231,1377540.2753178799
1.1,1.25,1377269.6108636006,1357865.751126342,1400213.396647531
1.15,0.75,1198695.4012885047,1180940.8957039,1216969.5855270196
1.15,0.8,1220285.6347100015,1201407.8928011355,1239266.203311712
1.15,0.85,1242230.4218528373,1223322.0896945812,1261741.2101143885
1.15,0.9,1263572.2450082465,1244453.1011926439,1283253.6294976927
1.15,0.95,1285285.9488307084,1266254.8399906245,1305237.6616720634
1.15,1,1307372.192632557,1286540.7275501569,1326923.4104391593
1.15,1.05,1328708.2282487652,1309071.4984873852,1348989.3995842445
1.15,1.1,1350757.9676114433,1330504.2897571148,1370330.1187128036
1.15,1.15,1371983.7931583119,1352909.9528177879,1391878.072018988
1.15,1.2,1393878.0622746833,1373392.4158827937,1416582.3608314767
1.15,1.25,1415461.043579954,1396023.4269219658,1436506.4472358206
1.2,0.75,1237444.5117527216,1217989.153395726,1257972.547285164
1.2,0.8,1259183.1847112547,1238905.256154087,1280544.5977320233
1.2,0.85,1281182.4497091554,1262037.8767504354,1301032.6139765491
1.2,0.9,1302571.3348673058,1282031.6528956534,1323271.9120940634
1.2,0.95,1324142.4965777479,1304766.9797996462,1345127.115918709
1.2,1,1346410.2555864376,1324490.968834289,1366933.1387918042
1.2,1.05,1367692.531329063,1346578.3555667396,1388768.6882981153
1.2,1.1,1389476.2282917586,1369441.4254383482,1410981.7170064512
1.2,1.15,1410964.5401746999,1390433.183143748,1432858.1571032861
1.2,1.2,1432480.7237542586,1410883.3903337864,1454121.0477447028
